0,0,194218,1
1,94218,194218,1
2,312047,538383,1
3,406238,538383,1
4,424766,538383,1
5,435074,538383,1
6,435650,538383,1
7,435891,538383,1
8,436142,538383,1
9,436389,538383,1
10,436636,538383,1
11,436887,538383,1
12,437138,538383,1
13,437387,538383,1
14,437634,538383,1
15,437883,538383,1
16,438135,538383,1
17,438383,538383,1
18,624004,818275,1
19,659270,818275,1
20,718275,818275,1
21,935988,1000000,1
22,1030198,1130198,1
23,1247993,1442394,1
24,1342394,1442394,1
25,1559995,1754872,1
26,1654872,1754872,1
27,1871969,2000000,1
28,1874546,2000000,1
29,1885765,2000000,1
30,1966374,2000000,1
31,2183971,2378163,1
32,2278163,2378163,1
33,2496007,2690137,1
34,2590137,2690137,1
35,2807988,3000000,1
36,2902282,3000000,1
37,3119960,3314128,1
38,3214128,3314128,1
39,3324814,3659296,1
40,3335056,3659296,1
41,3336184,3659296,1
42,3336406,3659296,1
43,3336654,3659296,1
44,3336904,3659296,1
45,3337156,3659296,1
46,3337404,3659296,1
47,3337652,3659296,1
48,3337903,3659296,1
49,3338152,3659296,1
50,3338400,3659296,1
51,3338647,3659296,1
52,3338898,3659296,1
53,3431977,3659296,1
54,3526348,3659296,1
55,3559296,3659296,1
56,3743962,3938446,1
57,3838446,3938446,1
58,4055942,4250132,1
59,4150132,4250132,1
60,4367937,4562148,1
61,4462148,4562148,1
62,4679943,4886234,1
63,4774179,4886234,1
64,4775097,4886234,1
65,4786234,4886234,1
66,4991923,5000000,1
67,5086152,5186152,1
68,5303910,5498161,1
69,5398161,5498161,1
70,5615922,5810565,1
71,5710565,5810565,1
72,5927905,6000000,1
73,6022329,6122329,1
74,6224863,6434090,1
75,6235132,6434090,1
76,6235694,6434090,1
77,6235935,6434090,1
78,6236181,6434090,1
79,6236430,6434090,1
80,6236676,6434090,1
81,6236931,6434090,1
82,6237179,6434090,1
83,6237426,6434090,1
84,6237674,6434090,1
85,6237929,6434090,1
86,6238176,6434090,1
87,6238424,6434090,1
88,6239890,6434090,1
89,6334090,6434090,1
90,6460294,6636345,1
91,6536345,6636345,1
92,6646134,6746134,1
93,6863919,7000000,1
94,6958140,7000000,1
95,7175910,7370289,1
96,7270289,7370289,1
97,7487910,7785859,1
98,7582101,7785859,1
99,7674673,7785859,1
100,7685859,7785859,1
101,7799891,7994565,1
102,7894565,7994565,1
103,8111875,8306192,1
104,8206192,8306192,1
105,8423894,8618231,1
106,8518231,8618231,1
107,8735872,8930169,1
108,8830169,8930169,1
109,9047851,9242089,1
110,9124924,9242089,1
111,9135184,9242089,1
112,9136241,9242089,1
113,9136468,9242089,1
